head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,"Find the pattern: 2, 5, 11, 23, 47, 95,",-0.0482177734375,-0.5,False,1,2.9341931343078613,3.1072161197662354,0.17302298545837402,0.011080443859100342
L0.H0,1,"Find the pattern: 8, 18, 38, 78, 158, 318,",0.00341796875,-0.015625,False,1,2.8753576278686523,2.8841519355773926,0.008794307708740234,0.004815949127078056
L0.H0,2,"Find the pattern: 13, 27, 55, 111, 223, 447,",0.05078125,0.03125,False,1,1.3328787088394165,1.2503056526184082,-0.0825730562210083,0.011137980036437511
L0.H0,3,"Find the pattern: 10, 21, 43, 87, 175, 351,",0.033203125,0.09375,False,1,2.007302761077881,1.879986047744751,-0.12731671333312988,0.007821030914783478
L0.H0,4,"Find the pattern: 3, 8, 18, 38, 78, 158,",-0.0400390625,-0.328125,False,1,3.07232666015625,3.296642303466797,0.22431564331054688,0.01024883147329092
L0.H0,5,"Find the pattern: 18, 37, 75, 151, 303, 607,",-0.0380859375,-0.25,False,1,2.1353302001953125,2.2768073081970215,0.14147710800170898,0.006819457747042179
L0.H0,6,"Find the pattern: 16, 33, 67, 135, 271, 543,",0.004638671875,-0.0625,False,1,2.041450262069702,2.051973342895508,0.010523080825805664,0.001870814012363553
L0.H0,7,"Find the pattern: 11, 23, 47, 95, 191, 383,",0.02880859375,0.15625,False,1,0.7295907735824585,0.5978760719299316,-0.13171470165252686,0.007258556317538023
L0.H0,8,"Find the pattern: 8, 17, 35, 71, 143, 287,",0.0052490234375,-0.125,False,1,2.9970340728759766,3.0400099754333496,0.04297590255737305,0.017701473087072372
L0.H0,9,"Find the pattern: 14, 29, 59, 119, 239, 479,",0.0263671875,0.015625,False,1,1.1748075485229492,1.1477748155593872,-0.02703273296356201,0.0015188900288194418
L0.H0,10,"Find the pattern: 3, 7, 15, 31, 63, 127,",-0.006591796875,-0.0625,False,1,2.6310486793518066,2.684943437576294,0.053894758224487305,0.0031178470235317945
L0.H0,11,"Find the pattern: 19, 39, 79, 159, 319, 639,",-0.0341796875,-0.140625,False,1,1.815859079360962,1.939162254333496,0.12330317497253418,0.004953674040734768
L0.H0,12,"Find the pattern: 5, 11, 23, 47, 95, 191,",-0.0201416015625,-0.125,True,2,2.741982936859131,2.8371169567108154,0.09513401985168457,0.007840930484235287
L0.H0,13,"Find the pattern: 9, 19, 39, 79, 159, 319,",-0.011474609375,-0.1875,True,2,2.34480619430542,2.2998671531677246,-0.04493904113769531,0.027444062754511833
L0.H0,14,"Find the pattern: 1, 4, 10, 22, 46, 94,",-0.002685546875,-0.1640625,False,1,3.1122593879699707,3.234266757965088,0.12200736999511719,0.007067488972097635
L0.H0,15,"Find the pattern: 17, 35, 71, 143, 287, 575,",-0.05029296875,-0.140625,False,1,1.867013931274414,1.9330317974090576,0.06601786613464355,0.007553458213806152
L0.H0,16,"Find the pattern: 7, 15, 31, 63, 127, 255,",-0.02099609375,-0.109375,False,1,1.7343281507492065,1.815497636795044,0.0811694860458374,0.0025168033316731453
L0.H0,17,"Find the pattern: 5, 12, 26, 54, 110, 222,",-0.0364990234375,-0.25,True,2,2.906733989715576,3.0501320362091064,0.14339804649353027,0.009500633925199509
L0.H0,18,"Find the pattern: 15, 31, 63, 127, 255, 511,",-0.017578125,-0.109375,False,1,1.8676156997680664,1.8891409635543823,0.021525263786315918,0.0015960978344082832
L0.H0,19,"Find the pattern: 20, 41, 83, 167, 335, 671,",-0.01220703125,-0.015625,False,1,2.2000715732574463,2.2317097187042236,0.031638145446777344,0.0023075146600604057
L0.H0,20,"Find the pattern: 7, 16, 34, 70, 142, 286,",-0.0146484375,-0.234375,False,1,0.635442852973938,0.7150647640228271,0.07962191104888916,0.002086471300572157
L0.H0,21,"Find the pattern: 6, 13, 27, 55, 111, 223,",-0.0087890625,-0.015625,False,1,2.0445003509521484,2.0784647464752197,0.03396439552307129,0.00529558164998889
L0.H0,22,"Find the pattern: 10, 22, 46, 94, 190, 382,",0.0,-0.078125,False,1,0.6622318029403687,0.6639735102653503,0.0017417073249816895,0.0004016128077637404
L0.H0,23,"Find the pattern: 11, 24, 50, 102, 206, 414,",0.0244140625,0.078125,False,1,2.054551124572754,2.00044584274292,-0.054105281829833984,0.00519587704911828
L0.H0,24,"Find the pattern: 4, 10, 22, 46, 94, 190,",-0.0191650390625,-0.28125,False,1,2.6410183906555176,2.7963297367095947,0.15531134605407715,0.00639280304312706
L0.H0,25,"Find the pattern: 9, 20, 42, 86, 174, 350,",0.025390625,-0.078125,False,1,1.6998142004013062,1.6259671449661255,-0.07384705543518066,0.004186918959021568
L0.H0,26,"Find the pattern: 2, 6, 14, 30, 62, 126,",0.0107421875,0.03125,False,1,3.4232425689697266,3.470059871673584,0.04681730270385742,0.005611857399344444
L0.H0,27,"Find the pattern: 4, 9, 19, 39, 79, 159,",-0.076171875,-0.3203125,False,1,2.232909679412842,2.6280221939086914,0.3951125144958496,0.014161273837089539
L0.H0,28,"Find the pattern: 6, 14, 30, 62, 126, 254,",0.020751953125,0.015625,False,1,3.179337501525879,3.166205883026123,-0.01313161849975586,0.006271539721637964
L0.H0,29,"Find the pattern: 12, 25, 51, 103, 207, 415,",-0.025390625,-0.03125,False,1,1.5585819482803345,1.5520515441894531,-0.006530404090881348,0.00719309039413929
L0.H1,0,"Find the pattern: 2, 5, 11, 23, 47, 95,",0.001953125,0.078125,False,1,2.9341931343078613,2.8976495265960693,-0.03654360771179199,0.0034605092369019985
L0.H1,1,"Find the pattern: 8, 18, 38, 78, 158, 318,",-0.0068359375,-0.0078125,False,1,2.8753576278686523,2.8804445266723633,0.0050868988037109375,0.0013645174913108349
L0.H1,2,"Find the pattern: 13, 27, 55, 111, 223, 447,",-0.03466796875,-0.09375,False,1,1.3328787088394165,1.3825401067733765,0.04966139793395996,0.003520465223118663
L0.H1,3,"Find the pattern: 10, 21, 43, 87, 175, 351,",0.0068359375,0.0,False,1,2.007302761077881,1.9949135780334473,-0.012389183044433594,0.0007694524829275906
L0.H1,4,"Find the pattern: 3, 8, 18, 38, 78, 158,",-0.021728515625,-0.125,False,1,3.07232666015625,3.1219422817230225,0.04961562156677246,0.0019835832063108683
L0.H1,5,"Find the pattern: 18, 37, 75, 151, 303, 607,",0.0205078125,0.109375,False,1,2.1353302001953125,2.0432372093200684,-0.09209299087524414,0.0035802333150058985
L0.H1,6,"Find the pattern: 16, 33, 67, 135, 271, 543,",0.02001953125,0.078125,False,1,2.041450262069702,2.0121026039123535,-0.029347658157348633,0.0018566327635198832
L0.H1,7,"Find the pattern: 11, 23, 47, 95, 191, 383,",0.00146484375,0.09375,False,1,0.7295907735824585,0.7127595543861389,-0.01683121919631958,0.000762187410145998
L0.H1,8,"Find the pattern: 8, 17, 35, 71, 143, 287,",-0.00634765625,0.015625,True,2,2.9970340728759766,2.974801540374756,-0.022232532501220703,0.001744655892252922
L0.H1,9,"Find the pattern: 14, 29, 59, 119, 239, 479,",0.0205078125,0.046875,False,1,1.1748075485229492,1.1555273532867432,-0.019280195236206055,0.0012873152736574411
L0.H1,10,"Find the pattern: 3, 7, 15, 31, 63, 127,",-0.02392578125,-0.140625,False,1,2.6310486793518066,2.702029228210449,0.07098054885864258,0.002838142216205597
L0.H1,11,"Find the pattern: 19, 39, 79, 159, 319, 639,",0.00390625,0.03125,False,1,1.815859079360962,1.799318552017212,-0.01654052734375,0.0005314250010997057
L0.H1,12,"Find the pattern: 5, 11, 23, 47, 95, 191,",-0.00732421875,-0.015625,True,2,2.741982936859131,2.707113265991211,-0.03486967086791992,0.002475136425346136
L0.H1,13,"Find the pattern: 9, 19, 39, 79, 159, 319,",0.0126953125,0.0625,False,1,2.34480619430542,2.331627368927002,-0.013178825378417969,0.0013655980583280325
L0.H1,14,"Find the pattern: 1, 4, 10, 22, 46, 94,",-0.01220703125,-0.046875,False,1,3.1122593879699707,3.10805606842041,-0.004203319549560547,0.002573722507804632
L0.H1,15,"Find the pattern: 17, 35, 71, 143, 287, 575,",-0.00634765625,0.03125,False,1,1.867013931274414,1.8478590250015259,-0.019154906272888184,0.0012581524206325412
L0.H1,16,"Find the pattern: 7, 15, 31, 63, 127, 255,",0.0009765625,-0.015625,False,1,1.7343281507492065,1.7309309244155884,-0.003397226333618164,0.00015505682677030563
L0.H1,17,"Find the pattern: 5, 12, 26, 54, 110, 222,",-0.0291748046875,-0.203125,True,2,2.906733989715576,2.97945237159729,0.07271838188171387,0.006307433359324932
L0.H1,18,"Find the pattern: 15, 31, 63, 127, 255, 511,",-0.015380859375,-0.0625,False,1,1.8676156997680664,1.8922009468078613,0.024585247039794922,0.0011652165558189154
L0.H1,19,"Find the pattern: 20, 41, 83, 167, 335, 671,",-0.023193359375,-0.015625,False,1,2.2000715732574463,2.2426140308380127,0.042542457580566406,0.0032157632522284985
L0.H1,20,"Find the pattern: 7, 16, 34, 70, 142, 286,",0.0068359375,0.109375,False,1,0.635442852973938,0.5971502661705017,-0.03829258680343628,0.0005683725466951728
