head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,Digital privacy in cell phones is Riley v.,-0.00390625,-0.0546875,False,1,5.747925281524658,5.792147636413574,0.044222354888916016,0.002015018370002508,-0.0001220703125,-0.03871748336358137,-0.0625,48,51,False
L0.H0,1,Incitement test in Brandenburg v.,-0.024658203125,-0.3203125,False,1,4.973923683166504,5.133339881896973,0.15941619873046875,0.010759986005723476,7.748603820800781e-07,0.2653061224489796,0.138671875,3819,3620,True
L0.H0,2,The Java API copyright case is Google LLC v.,-0.00927734375,-0.03125,False,1,4.977725028991699,5.0306477546691895,0.052922725677490234,0.001658668159507215,-8.344650268554688e-07,-0.028985507246376812,-0.03125,1878,1934,False
L0.H0,3,Interracial marriage rights in Loving v.,0.0,0.03125,False,1,0.16978661715984344,0.16694672405719757,-0.002839893102645874,0.00035920715890824795,-5.960464477539063e-08,-0.125,0.0,946,1000,False
L0.H0,4,The ministerial exception in Hosanna-Tabor v.,-0.007080078125,-0.0546875,False,1,4.669490814208984,4.723303318023682,0.053812503814697266,0.0015316889621317387,-1.7881393432617188e-07,-0.01107011070110701,-0.037109375,1885,1927,False
L0.H0,5,Abortion rights overturned in Dobbs v. Jackson Women's Health,-0.013671875,-0.03125,True,2,2.992129325866699,3.016857147216797,0.024727821350097656,0.005547976121306419,0.0,0.0,0.0029296875,14421,14416,True
L0.H0,6,Same-sex marriage is Obergefell v.,-0.00244140625,-0.046875,False,1,0.25390368700027466,0.26932451128959656,0.0154208242893219,0.0004125548875890672,0.0,0.0,-0.09423828125,5228,5333,False
L0.H0,7,The landmark desegregation case is Brown v. Board of,-0.0009765625,-0.0625,False,1,0.3506466746330261,0.35669147968292236,0.00604480504989624,-1.451332718716003e-05,0.0,0.0,-0.029296875,1972,2064,False
L0.H0,8,Presidential immunity in Nixon v.,-0.02587890625,-0.1015625,False,1,2.408627986907959,2.5743348598480225,0.16570687294006348,0.002292023040354252,3.814697265625e-06,0.21262458471760798,0.1328125,914,859,True
L0.H0,9,Cruel and unusual punishment in Roper v.,-0.0068359375,-0.0625,False,1,0.8827024102210999,0.9257750511169434,0.043072640895843506,0.0006211374420672655,1.6927719116210938e-05,0.09033078880407125,0.03125,66,62,True
